DMCODE,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23549620230106,N35,181,5,520.4,530.2,524.4,521.4,529,524.6,357,58.3,64.6, ,38.1,0.9,0.86,0.92,0.02,6:31:02
23549860240106,N35,174,0,520.6,530,524,521.2,529.6,524,349.4,59,65.6,6:23:02,37.2,0.94,0.88,0.98,0.02,6:23:25
23549890240106,N35,226,0,520,531,524.2,520.8,530,524.8,348.8,58.4,65.8,6:22:08,38.1,0.92,0.88,0.98,0.02,6:23:25
23549960240106,N35,211,0,520,530.8,524.2,521,529.6,524.8,347.2,59,65.6,6:21:02,38.1,0.92,0.88,0.98,0.02,6:23:25
23549990240106,N35,1562,0,647.2,662.8,650,646.2,663.8,650.6,289.2,58.4,3, ,38.2,1.12,0.9,0.98,0.02,5:17:02
23550000240106,N35,281,0,644.6,659.6,517.6,645.8,658,516.4,319.2,59,65.6,6:13:04,38.2,1.08,0.86,0.98,0.02,5:17:02
23550020240106,N35,237,0,520,531.4,524,521,530.2,524.2,335.4,59,65.9,6:17:08,37.3,0.92,0.88,1,0.02,1233:04:07
23550090240106,N35,211,0,519.6,531,524,520.8,529.2,524.4,350.6,59,64.7,6:21:02,38.2,0.94,0.9,1,0.02,6:23:25
23550090240106,N35,211,0,519.6,531,524,520.8,529.2,524.4,350.6,59,64.7,6:21:02,38.2,0.94,0.9,1,0.02,6:23:25
23550090240106,N35,211,0,519.6,531,524,520.8,529.2,524.4,350.6,59,64.7,6:21:02,38.2,0.94,0.9,1,0.02,6:23:25
