DMCODE,GiessenErgebnis,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352000180106,1,N33,223,0,522.2,528,525,521.8,529,525,349.8,57.9,72.8,331.775,31.3,0.98,0.9,0.7,0.020761905,382.7
23352010180106,0,N33,5338,0,623.6,656.6,656.6,611.8,651,651,241.6,3.3,3.3,381.8275862,31.5,1.12,0.96,0.02,0.020761905,267.8
23352030180106,0,N33,208,0,517.6,528.4,524.6,517.6,529.6,524.6,320.8,59.7,73.3,331.775,31.5,1.04,0.94,0.72,0.020761905,352.7
23352180180106,0,N33,178,0,521.8,527.8,524.6,521.8,528.8,524.6,338.8,56.8,70.7,331.775,31.4,1,0.92,0.7,0,372.4
23352190180106,0,N33,204,0,521.6,528,525,521.4,529,524.6,343.8,59.8,75.1,331.775,31,1.02,0.94,0.7,0,375.6
23352200180106,0,N33,173,0,522,528,525,522,528.6,524.4,349.8,57.9,74.1,331.775,31,1,0.9,0.74,0.020761905,382.7
23352250180106,0,N33,220,0,521.8,528.6,525,521.6,529.2,524.6,348.8,55.9,70.7,331.775,31.2,1.04,0.94,0.72,0.020761905,381.1
23352290180106,0,N33,215,0,521.8,528.6,524.8,521.8,528.8,524.6,351,59.2,73,331.775,32.4,1.02,0.94,0.72,0,384.4
23352330180106,0,N33,199,3,521.6,527.6,524.8,521.6,528.6,524.6,341,57.9,72.8,331.775,31.4,1.02,0.94,0.74,0.020761905,376.2
23352380180106,0,N33,188,3,521.4,528,524.8,521.2,529.2,525,353.8,58.2,72.8,331.775,31.4,1.02,0.94,0.72,0.020761905,387.7
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352450180106,1,N33,201,3,521.8,528.8,524.8,521.4,529.2,525,341,59.2,75.4,331.775,31.8,0.98,0.9,0.72,0,372.9
23352460180106,1,N33,1628,0,526.4,655,655,524.6,655.8,655.8,276.2,3.3,3.3,381.8275862,31.7,1.06,0,0.74,0,305.3
23352460180106,1,N33,1628,0,526.4,655,655,524.6,655.8,655.8,276.2,3.3,3.3,381.8275862,31.7,1.06,0,0.74,0,305.3
23352460180106,1,N33,1628,0,526.4,655,655,524.6,655.8,655.8,276.2,3.3,3.3,381.8275862,31.7,1.06,0,0.74,0,305.3
23352460180106,1,N33,1628,0,526.4,655,655,524.6,655.8,655.8,276.2,3.3,3.3,381.8275862,31.7,1.06,0,0.74,0,305.3
23352460180106,1,N33,1628,0,526.4,655,655,524.6,655.8,655.8,276.2,3.3,3.3,381.8275862,31.7,1.06,0,0.74,0,305.3
23352480180106,0,N33,195,0,521.8,528.6,524.6,521,529.4,524.6,328.8,57.4,72.8,331.775,32.3,1.06,0,0.72,0,359.8
23352540180106,0,N33,175,0,522,528.4,525,521.8,528.8,524.8,346,58.5,74.1,331.775,31.6,1,0.92,0.72,0.020761905,377.8
23352550180106,0,N33,182,0,521.8,528,524.8,521.2,529,524.8,349.8,57.9,74.1,331.775,31.1,0.98,0,0.7,0,381.6
23352720180106,0,N33,235,0,521.8,527.6,525,521.2,528.8,524.8,352.2,60.5,75.9,331.775,31.4,1,0.94,0.68,0.020761905,384.9
23352740180106,0,N33,1543,0,648.8,655,649,648.2,655.8,649,289.6,3.3,3.3,381.8275862,31.4,1.06,0,0.68,0.020761905,325.9
23352780180106,0,N33,217,0,521.8,528.4,524.8,521.2,529.2,524.6,344.8,57.9,75.9,331.775,31.5,0.98,0.92,0.68,0.020761905,376.7
23352860180106,0,N33,224,0,521.8,528.2,525,521.2,529.4,524.6,347.2,58.5,74.1,331.775,32.7,1,0.92,0.68,0.020761905,378.4
23352940190106,0,N33,194,0,521.8,528,524.8,521.6,529,524.6,352.2,60.5,75.1,331.775,31.4,1,0.92,0.66,0.020761905,385.5
23353020190106,0,N33,1104,0,652,655,648.4,651,655.8,649,304.2,3.3,3.4,381.8275862,32.4,1,0,0.68,0.020761905,338.2
23353070190106,0,N33,188,0,521.6,528,525,521.6,528.6,524.8,355.4,58.5,73.3,331.775,31.4,0.98,0.92,0.68,0.020761905,388.7
23353110190106,0,N33,227,0,521.6,528,524.8,521.4,528.8,524.6,352.8,57.9,72,331.775,31.4,0.98,0.92,0.68,0.020761905,384.9
23353190190106,0,N33,209,0,648.4,653.2,524.6,646.2,653.8,524.8,353.2,56.6,74.3,381.8275862,32.4,1,0.92,0.68,0.020761905,389.3
23353220190106,0,N33,249,0,522,528.2,524.8,522,529,524.6,349.8,57.9,72,331.775,31,1,0.94,0.68,0.020761905,381.1
23353230190106,0,N33,217,0,522,528,524.8,521.6,528.8,524.6,351,59.2,75.6,331.775,31.2,1,0.94,0.66,0.020761905,383.3
23353240190106,0,N33,196,0,521.8,528.6,524.8,521.6,528.8,524.6,352.8,57.9,72.8,331.775,31.4,0.98,0.9,0.68,0.020761905,385.5
23353250190106,0,N33,186,0,521.8,528.2,524.8,521.4,529,524.6,357.6,58,74.6,331.775,31,1,0.92,0.66,0,388.7
23353260190106,0,N33,199,0,521.2,528.2,525,521.6,528.8,524.6,357.6,57.9,73.4,331.775,31.3,1,0.92,0.66,0.020761905,390.9
23353290190106,0,N33,1245,0,645.6,661.6,648.4,645.8,662.8,649.4,287.4,3.3,70.2,381.8275862,31.4,1.02,0,0.66,0,318.7
23353430190106,0,N33,1470,0,524,529.2,524.8,523.8,531,524.8,291.2,3.4,3.4,331.775,31.4,1.1,0,0.68,0.020761905,322
23353460190106,0,N33,163,0,522.2,528,525,521.8,529,524.8,346.6,57.9,73.2,331.775,31.1,1,0.92,0.68,0,380
23353590190106,0,N33,198,0,521.6,527.8,524.8,521.6,528.6,524.6,342.8,60.5,72,331.775,31.5,0.98,0.92,0.68,0,378.4
23353620190106,0,N33,241,0,522,528.2,525,521.6,529,524.6,345.6,57.9,72.8,331.775,31.5,1,0.96,0.68,0.020761905,377.3
23353660190106,0,N33,170,0,522,527.8,524.8,521.4,528.6,524.8,355.4,55.9,70.7,331.775,31.5,0.96,0,0.66,0.020761905,383.25
23353700190106,0,N33,209,0,521.2,528.2,525,521.2,529.4,524.4,351,56.6,71.9,331.775,31.5,0.96,0.88,0.66,0.020761905,576.4
23353780190106,0,N33,196,0,521.8,528.2,524.8,521.6,529,524.4,351.6,56.6,72,331.775,31.3,0.96,0.9,0.66,0.020761905,382.7
23353880190106,0,N33,199,0,522,528,525,521.6,528.8,524.6,339.8,58.5,74.1,331.775,31.5,1.06,0,0.68,0,374
23353900190106,0,N33,217,0,521.8,528.6,524.8,521.2,529,524.8,343.2,59.2,74.1,331.775,32.4,1.04,0.98,0.7,0.020761905,375.1
23353930190106,0,N33,195,0,521.8,528.6,525,521.6,529,524.6,343.8,57.9,75.4,331.775,32.4,1,0,0.66,0.020761905,375.1
